"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"65-69 years"	"65-69"	"Non-Injury: Diseases of appendix"	"GR113-091"	378	126104032	0.3
	"65-69 years"	"65-69"	"Non-Injury: Hernia"	"GR113-092"	1183	126104032	0.9
	"65-69 years"	"65-69"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	33377	126104032	26.5
	"65-69 years"	"65-69"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	2340	126104032	1.9
	"65-69 years"	"65-69"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	37404	126104032	29.7
	"65-69 years"	"65-69"	"Non-Injury: Infections of kidney"	"GR113-102"	492	126104032	0.4
	"65-69 years"	"65-69"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	185	126104032	0.1
	"65-69 years"	"65-69"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	99	126104032	0.1
	"65-69 years"	"65-69"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	6	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	8	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2621	126104032	2.1
	"65-69 years"	"65-69"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	13923	126104032	11.0
	"65-69 years"	"65-69"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	143752	126104032	114.0
	"65-69 years"	"65-69"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	2882	126104032	2.3
"Total"	"65-69 years"	"65-69"			2147351	126104032	1702.8
	"70-74 years"	"70-74"	"Cut/Pierce"	"GRINJ-001"	680	105882683	0.6
	"70-74 years"	"70-74"	"Drowning"	"GRINJ-002"	1461	105882683	1.4
	"70-74 years"	"70-74"	"Fall"	"GRINJ-003"	16709	105882683	15.8
	"70-74 years"	"70-74"	"Fire/Flame"	"GRINJ-004"	2577	105882683	2.4
	"70-74 years"	"70-74"	"Hot object/Substance"	"GRINJ-005"	81	105882683	0.1
	"70-74 years"	"70-74"	"Firearm"	"GRINJ-006"	11804	105882683	11.1
	"70-74 years"	"70-74"	"Machinery"	"GRINJ-007"	524	105882683	0.5
	"70-74 years"	"70-74"	"Motor Vehicle Traffic"	"GRINJ-008"	16850	105882683	15.9
	"70-74 years"	"70-74"	"Other Pedal cyclist"	"GRINJ-009"	131	105882683	0.1
	"70-74 years"	"70-74"	"Other Pedestrian"	"GRINJ-010"	510	105882683	0.5
	"70-74 years"	"70-74"	"Other land transport"	"GRINJ-011"	706	105882683	0.7
	"70-74 years"	"70-74"	"Other transport"	"GRINJ-012"	564	105882683	0.5
	"70-74 years"	"70-74"	"Natural/Environmental"	"GRINJ-013"	1158	105882683	1.1
	"70-74 years"	"70-74"	"Overexertion"	"GRINJ-014"	9	105882683	Unreliable
	"70-74 years"	"70-74"	"Poisoning"	"GRINJ-015"	4114	105882683	3.9
	"70-74 years"	"70-74"	"Struck by or against"	"GRINJ-016"	562	105882683	0.5
	"70-74 years"	"70-74"	"Suffocation"	"GRINJ-017"	5788	105882683	5.5
	"70-74 years"	"70-74"	"Other specified, classifiable Injury"	"GRINJ-018"	671	105882683	0.6
	"70-74 years"	"70-74"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1183	105882683	1.1
	"70-74 years"	"70-74"	"Unspecified Injury"	"GRINJ-020"	4935	105882683	4.7
	"70-74 years"	"70-74"	"Non-Injury: Intestinal infections"	"GR113 001-003"	5267	105882683	5.0
	"70-74 years"	"70-74"	"Non-Injury: Tuberculosis"	"GR113 005-006"	836	105882683	0.8
	"70-74 years"	"70-74"	"Non-Injury: Whooping cough"	"GR113-007"	1	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Meningococcal infection"	"GR113-009"	44	105882683	0.0
	"70-74 years"	"70-74"	"Non-Injury: Septicemia"	"GR113-010"	42150	105882683	39.8
	"70-74 years"	"70-74"	"Non-Injury: Syphilis"	"GR113-011"	36	105882683	0.0
	"70-74 years"	"70-74"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	14	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Measles"	"GR113-014"	0	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Viral hepatitis"	"GR113-015"	4628	105882683	4.4
	"70-74 years"	"70-74"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	1815	105882683	1.7
	"70-74 years"	"70-74"	"Non-Injury: Malaria"	"GR113-017"	5	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	7903	105882683	7.5
	"70-74 years"	"70-74"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	930224	105882683	878.5
	"70-74 years"	"70-74"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	17590	105882683	16.6
	"70-74 years"	"70-74"	"Non-Injury: Anemias"	"GR113-045"	3677	105882683	3.5
	"70-74 years"	"70-74"	"Non-Injury: Diabetes mellitus"	"GR113-046"	105813	105882683	99.9
	"70-74 years"	"70-74"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2625	105882683	2.5
	"70-74 years"	"70-74"	"Non-Injury: Meningitis"	"GR113-050"	535	105882683	0.5
	"70-74 years"	"70-74"	"Non-Injury: Parkinsons disease"	"GR113-051"	19717	105882683	18.6
	"70-74 years"	"70-74"	"Non-Injury: Alzheimers disease"	"GR113-052"	33402	105882683	31.5
	"70-74 years"	"70-74"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	710699	105882683	671.2
	"70-74 years"	"70-74"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	21715	105882683	20.5
	"70-74 years"	"70-74"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	147427	105882683	139.2
	"70-74 years"	"70-74"	"Non-Injury: Atherosclerosis"	"GR113-071"	8060	105882683	7.6
	"70-74 years"	"70-74"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	32737	105882683	30.9
	"70-74 years"	"70-74"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	4355	105882683	4.1
	"70-74 years"	"70-74"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	48064	105882683	45.4
	"70-74 years"	"70-74"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	192	105882683	0.2
	"70-74 years"	"70-74"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	217528	105882683	205.4
	"70-74 years"	"70-74"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1654	105882683	1.6
	"70-74 years"	"70-74"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	13584	105882683	12.8
	"70-74 years"	"70-74"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	39287	105882683	37.1
	"70-74 years"	"70-74"	"Non-Injury: Peptic ulcer"	"GR113-090"	4122	105882683	3.9
	"70-74 years"	"70-74"	"Non-Injury: Diseases of appendix"	"GR113-091"	530	105882683	0.5
	"70-74 years"	"70-74"	"Non-Injury: Hernia"	"GR113-092"	1615	105882683	1.5
	"70-74 years"	"70-74"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	30787	105882683	29.1
	"70-74 years"	"70-74"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	3455	105882683	3.3
	"70-74 years"	"70-74"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	52882	105882683	49.9
	"70-74 years"	"70-74"	"Non-Injury: Infections of kidney"	"GR113-102"	698	105882683	0.7
	"70-74 years"	"70-74"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	361	105882683	0.3
	"70-74 years"	"70-74"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	112	105882683	0.1
	"70-74 years"	"70-74"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	12	105882683	Unreliable
	"70-74 years"	"70-74"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2250	105882683	2.1
	"70-74 years"	"70-74"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	18113	105882683	17.1
	"70-74 years"	"70-74"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	189909	105882683	179.4
	"70-74 years"	"70-74"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	3570	105882683	3.4
"Total"	"70-74 years"	"70-74"			2801019	105882683	2645.4
	"75-79 years"	"75-79"	"Cut/Pierce"	"GRINJ-001"	639	88913142	0.7
	"75-79 years"	"75-79"	"Drowning"	"GRINJ-002"	1370	88913142	1.5
	"75-79 years"	"75-79"	"Fall"	"GRINJ-003"	27459	88913142	30.9
	"75-79 years"	"75-79"	"Fire/Flame"	"GRINJ-004"	2770	88913142	3.1
	"75-79 years"	"75-79"	"Hot object/Substance"	"GRINJ-005"	100	88913142	0.1
	"75-79 years"	"75-79"	"Firearm"	"GRINJ-006"	11625	88913142	13.1
	"75-79 years"	"75-79"	"Machinery"	"GRINJ-007"	463	88913142	0.5
	"75-79 years"	"75-79"	"Motor Vehicle Traffic"	"GRINJ-008"	17987	88913142	20.2
	"75-79 years"	"75-79"	"Other Pedal cyclist"	"GRINJ-009"	98	88913142	0.1
	"75-79 years"	"75-79"	"Other Pedestrian"	"GRINJ-010"	596	88913142	0.7
	"75-79 years"	"75-79"	"Other land transport"	"GRINJ-011"	707	88913142	0.8
	"75-79 years"	"75-79"	"Other transport"	"GRINJ-012"	343	88913142	0.4
	"75-79 years"	"75-79"	"Natural/Environmental"	"GRINJ-013"	1433	88913142	1.6
	"75-79 years"	"75-79"	"Overexertion"	"GRINJ-014"	9	88913142	Unreliable
	"75-79 years"	"75-79"	"Poisoning"	"GRINJ-015"	3586	88913142	4.0
	"75-79 years"	"75-79"	"Struck by or against"	"GRINJ-016"	456	88913142	0.5
	"75-79 years"	"75-79"	"Suffocation"	"GRINJ-017"	7792	88913142	8.8
	"75-79 years"	"75-79"	"Other specified, classifiable Injury"	"GRINJ-018"	566	88913142	0.6
	"75-79 years"	"75-79"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1454	88913142	1.6
	"75-79 years"	"75-79"	"Unspecified Injury"	"GRINJ-020"	8063	88913142	9.1
	"75-79 years"	"75-79"	"Non-Injury: Intestinal infections"	"GR113 001-003"	8860	88913142	10.0
	"75-79 years"	"75-79"	"Non-Injury: Tuberculosis"	"GR113 005-006"	1093	88913142	1.2
	"75-79 years"	"75-79"	"Non-Injury: Whooping cough"	"GR113-007"	0	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	2	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Meningococcal infection"	"GR113-009"	44	88913142	0.0
	"75-79 years"	"75-79"	"Non-Injury: Septicemia"	"GR113-010"	57590	88913142	64.8
	"75-79 years"	"75-79"	"Non-Injury: Syphilis"	"GR113-011"	61	88913142	0.1
	"75-79 years"	"75-79"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	8	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Measles"	"GR113-014"	1	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Viral hepatitis"	"GR113-015"	4018	88913142	4.5
	"75-79 years"	"75-79"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	879	88913142	1.0
	"75-79 years"	"75-79"	"Non-Injury: Malaria"	"GR113-017"	4	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	9389	88913142	10.6
	"75-79 years"	"75-79"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	1027700	88913142	1155.8
	"75-79 years"	"75-79"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	25024	88913142	28.1
	"75-79 years"	"75-79"	"Non-Injury: Anemias"	"GR113-045"	5537	88913142	6.2
	"75-79 years"	"75-79"	"Non-Injury: Diabetes mellitus"	"GR113-046"	127788	88913142	143.7
	"75-79 years"	"75-79"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	4531	88913142	5.1
	"75-79 years"	"75-79"	"Non-Injury: Meningitis"	"GR113-050"	587	88913142	0.7
	"75-79 years"	"75-79"	"Non-Injury: Parkinsons disease"	"GR113-051"	42632	88913142	47.9
	"75-79 years"	"75-79"	"Non-Injury: Alzheimers disease"	"GR113-052"	86761	88913142	97.6
	"75-79 years"	"75-79"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1001026	88913142	1125.8
	"75-79 years"	"75-79"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	32182	88913142	36.2
	"75-79 years"	"75-79"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	239288	88913142	269.1
	"75-79 years"	"75-79"	"Non-Injury: Atherosclerosis"	"GR113-071"	14642	88913142	16.5
	"75-79 years"	"75-79"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	44724	88913142	50.3
	"75-79 years"	"75-79"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	5708	88913142	6.4
	"75-79 years"	"75-79"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	81754	88913142	91.9
	"75-79 years"	"75-79"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	292	88913142	0.3
	"75-79 years"	"75-79"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	285790	88913142	321.4
	"75-79 years"	"75-79"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	2396	88913142	2.7
	"75-79 years"	"75-79"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	24627	88913142	27.7
	"75-79 years"	"75-79"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	53219	88913142	59.9
	"75-79 years"	"75-79"	"Non-Injury: Peptic ulcer"	"GR113-090"	5802	88913142	6.5
	"75-79 years"	"75-79"	"Non-Injury: Diseases of appendix"	"GR113-091"	601	88913142	0.7
	"75-79 years"	"75-79"	"Non-Injury: Hernia"	"GR113-092"	2408	88913142	2.7
	"75-79 years"	"75-79"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	26737	88913142	30.1
	"75-79 years"	"75-79"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	5102	88913142	5.7
	"75-79 years"	"75-79"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	75017	88913142	84.4
	"75-79 years"	"75-79"	"Non-Injury: Infections of kidney"	"GR113-102"	1089	88913142	1.2
	"75-79 years"	"75-79"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	654	88913142	0.7
	"75-79 years"	"75-79"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	181	88913142	0.2
	"75-79 years"	"75-79"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	3	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	6	88913142	Unreliable
	"75-79 years"	"75-79"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2487	88913142	2.8
	"75-79 years"	"75-79"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	26588	88913142	29.9
	"75-79 years"	"75-79"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	279340	88913142	314.2
	"75-79 years"	"75-79"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	4441	88913142	5.0
"Total"	"75-79 years"	"75-79"			3706129	88913142	4168.3
	"80-84 years"	"80-84"	"Cut/Pierce"	"GRINJ-001"	500	65335166	0.8
	"80-84 years"	"80-84"	"Drowning"	"GRINJ-002"	1171	65335166	1.8
	"80-84 years"	"80-84"	"Fall"	"GRINJ-003"	40954	65335166	62.7
	"80-84 years"	"80-84"	"Fire/Flame"	"GRINJ-004"	2712	65335166	4.2
	"80-84 years"	"80-84"	"Hot object/Substance"	"GRINJ-005"	145	65335166	0.2
	"80-84 years"	"80-84"	"Firearm"	"GRINJ-006"	9239	65335166	14.1
	"80-84 years"	"80-84"	"Machinery"	"GRINJ-007"	334	65335166	0.5
	"80-84 years"	"80-84"	"Motor Vehicle Traffic"	"GRINJ-008"	15996	65335166	24.5
	"80-84 years"	"80-84"	"Other Pedal cyclist"	"GRINJ-009"	68	65335166	0.1
	"80-84 years"	"80-84"	"Other Pedestrian"	"GRINJ-010"	535	65335166	0.8
	"80-84 years"	"80-84"	"Other land transport"	"GRINJ-011"	559	65335166	0.9
	"80-84 years"	"80-84"	"Other transport"	"GRINJ-012"	175	65335166	0.3
	"80-84 years"	"80-84"	"Natural/Environmental"	"GRINJ-013"	1559	65335166	2.4
	"80-84 years"	"80-84"	"Overexertion"	"GRINJ-014"	9	65335166	Unreliable
	"80-84 years"	"80-84"	"Poisoning"	"GRINJ-015"	3052	65335166	4.7
	"80-84 years"	"80-84"	"Struck by or against"	"GRINJ-016"	351	65335166	0.5
	"80-84 years"	"80-84"	"Suffocation"	"GRINJ-017"	9546	65335166	14.6
	"80-84 years"	"80-84"	"Other specified, classifiable Injury"	"GRINJ-018"	486	65335166	0.7
	"80-84 years"	"80-84"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1659	65335166	2.5
	"80-84 years"	"80-84"	"Unspecified Injury"	"GRINJ-020"	12630	65335166	19.3
	"80-84 years"	"80-84"	"Non-Injury: Intestinal infections"	"GR113 001-003"	12852	65335166	19.7
	"80-84 years"	"80-84"	"Non-Injury: Tuberculosis"	"GR113 005-006"	1148	65335166	1.8
	"80-84 years"	"80-84"	"Non-Injury: Whooping cough"	"GR113-007"	2	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Meningococcal infection"	"GR113-009"	42	65335166	0.1
	"80-84 years"	"80-84"	"Non-Injury: Septicemia"	"GR113-010"	67672	65335166	103.6
	"80-84 years"	"80-84"	"Non-Injury: Syphilis"	"GR113-011"	61	65335166	0.1
	"80-84 years"	"80-84"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	4	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Measles"	"GR113-014"	0	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Viral hepatitis"	"GR113-015"	2833	65335166	4.3
	"80-84 years"	"80-84"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	343	65335166	0.5
	"80-84 years"	"80-84"	"Non-Injury: Malaria"	"GR113-017"	2	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	9244	65335166	14.1
	"80-84 years"	"80-84"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	937241	65335166	1434.5
	"80-84 years"	"80-84"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	30733	65335166	47.0
	"80-84 years"	"80-84"	"Non-Injury: Anemias"	"GR113-045"	8268	65335166	12.7
	"80-84 years"	"80-84"	"Non-Injury: Diabetes mellitus"	"GR113-046"	132422	65335166	202.7
	"80-84 years"	"80-84"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	6959	65335166	10.7
	"80-84 years"	"80-84"	"Non-Injury: Meningitis"	"GR113-050"	503	65335166	0.8
	"80-84 years"	"80-84"	"Non-Injury: Parkinsons disease"	"GR113-051"	61919	65335166	94.8
	"80-84 years"	"80-84"	"Non-Injury: Alzheimers disease"	"GR113-052"	169702	65335166	259.7
	"80-84 years"	"80-84"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1297922	65335166	1986.6
	"80-84 years"	"80-84"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	44903	65335166	68.7
	"80-84 years"	"80-84"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	338395	65335166	517.9
	"80-84 years"	"80-84"	"Non-Injury: Atherosclerosis"	"GR113-071"	23462	65335166	35.9
	"80-84 years"	"80-84"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	49579	65335166	75.9
	"80-84 years"	"80-84"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	6772	65335166	10.4
	"80-84 years"	"80-84"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	126328	65335166	193.4
	"80-84 years"	"80-84"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	436	65335166	0.7
	"80-84 years"	"80-84"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	299234	65335166	458.0
	"80-84 years"	"80-84"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	2803	65335166	4.3
	"80-84 years"	"80-84"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	39621	65335166	60.6
	"80-84 years"	"80-84"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	59117	65335166	90.5
	"80-84 years"	"80-84"	"Non-Injury: Peptic ulcer"	"GR113-090"	7542	65335166	11.5
	"80-84 years"	"80-84"	"Non-Injury: Diseases of appendix"	"GR113-091"	719	65335166	1.1
	"80-84 years"	"80-84"	"Non-Injury: Hernia"	"GR113-092"	3303	65335166	5.1
	"80-84 years"	"80-84"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	18460	65335166	28.3
	"80-84 years"	"80-84"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	6821	65335166	10.4
	"80-84 years"	"80-84"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	93092	65335166	142.5
	"80-84 years"	"80-84"	"Non-Injury: Infections of kidney"	"GR113-102"	1422	65335166	2.2
	"80-84 years"	"80-84"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	1238	65335166	1.9
	"80-84 years"	"80-84"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	200	65335166	0.3
	"80-84 years"	"80-84"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	0	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	7	65335166	Unreliable
	"80-84 years"	"80-84"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2598	65335166	4.0
	"80-84 years"	"80-84"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	39407	65335166	60.3
	"80-84 years"	"80-84"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	391824	65335166	599.7
	"80-84 years"	"80-84"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	4530	65335166	6.9
"Total"	"80-84 years"	"80-84"			4403366	65335166	6739.7
	"85-89 years"	"85-89"	"Cut/Pierce"	"GRINJ-001"	297	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Drowning"	"GRINJ-002"	781	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Fall"	"GRINJ-003"	45258	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Fire/Flame"	"GRINJ-004"	1886	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Hot object/Substance"	"GRINJ-005"	131	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Firearm"	"GRINJ-006"	5302	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Machinery"	"GRINJ-007"	169	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Motor Vehicle Traffic"	"GRINJ-008"	10176	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other Pedal cyclist"	"GRINJ-009"	40	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other Pedestrian"	"GRINJ-010"	341	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other land transport"	"GRINJ-011"	363	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other transport"	"GRINJ-012"	59	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Natural/Environmental"	"GRINJ-013"	1373	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Overexertion"	"GRINJ-014"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Poisoning"	"GRINJ-015"	2216	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Struck by or against"	"GRINJ-016"	216	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Suffocation"	"GRINJ-017"	9404	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other specified, classifiable Injury"	"GRINJ-018"	335	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1523	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Unspecified Injury"	"GRINJ-020"	15462	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Intestinal infections"	"GR113 001-003"	13561	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Tuberculosis"	"GR113 005-006"	881	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Whooping cough"	"GR113-007"	0	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	3	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Meningococcal infection"	"GR113-009"	29	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Septicemia"	"GR113-010"	61772	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Syphilis"	"GR113-011"	56	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	4	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Non-Injury: Measles"	"GR113-014"	0	Not Applicable	Not Applicable
